customer_key,customer_id
1,CID1000119
2,CID1000157
3,CID1000234
4,CID1000323
5,CID1000434
6,CID1000448
7,CID1000469
8,CID1000583
9,CID1000588
10,CID1000710
11,CID1000804
12,CID1000829
13,CID1000836
14,CID1000862
15,CID1000892
16,CID1000930
17,CID1000949
18,CID1000955
19,CID1000971
20,CID1001022
21,CID1001114
22,CID1001157
23,CID1001214
24,CID1001250
25,CID1001276
26,CID1001358
27,CID1001414
28,CID1001436
29,CID1001483
30,CID1001485
31,CID1001487
32,CID1001625
33,CID1001716
34,CID1001738
35,CID1001873
36,CID1001937
37,CID1001964
38,CID1001980
39,CID1002049
40,CID1002086
41,CID1002110
42,CID1002195
43,CID1002334
44,CID1002362
45,CID1002564
46,CID1002578
47,CID1002627
48,CID1002686
49,CID1002696
50,CID1002701
51,CID1002773
52,CID1002787
53,CID1002854
54,CID1002894
55,CID1002913
56,CID1002931
57,CID1003148
58,CID1003183
59,CID1003222
60,CID1003306
61,CID1003343
62,CID1003436
63,CID1003454
64,CID1003721
65,CID1003853
66,CID1003871
67,CID1003884
68,CID1004053
69,CID1004088
70,CID1004319
71,CID1004454
72,CID1004464
73,CID1004550
74,CID1004618
75,CID1004677
76,CID1004692
77,CID1004780
78,CID1004784
79,CID1004787
80,CID1004802
81,CID1004833
82,CID1004846
83,CID1004879
84,CID1004961
85,CID1005085
86,CID1005092
87,CID1005204
88,CID1005235
89,CID1005242
90,CID1005245
91,CID1005380
92,CID1005419
93,CID1005465
94,CID1005577
95,CID1005609
96,CID1005758
97,CID1005768
98,CID1005780
99,CID1005809
100,CID1005837
101,CID1005868
102,CID1005967
103,CID1005969
104,CID1005970
105,CID1006195
106,CID1006209
107,CID1006244
108,CID1006259
109,CID1006265
110,CID1006298
111,CID1006331
112,CID1006457
113,CID1006588
114,CID1006600
115,CID1006621
116,CID1006677
117,CID1006682
118,CID1006720
119,CID1006790
120,CID1006935
121,CID1007107
122,CID1007112
123,CID1007117
124,CID1007201
125,CID1007489
126,CID1007503
127,CID1007593
128,CID1007629
129,CID1007791
130,CID1007802
131,CID1008015
132,CID1008079
133,CID1008198
134,CID1008248
135,CID1008269
136,CID1008317
137,CID1008357
138,CID1008497
139,CID1008514
140,CID1008526
141,CID1008572
142,CID1008579
143,CID1008640
144,CID1008784
145,CID1008837
146,CID1008847
147,CID1009023
148,CID1009167
149,CID1009240
150,CID1009390
151,CID1009511
152,CID1009584
153,CID1009751
154,CID1009801
155,CID1009944
156,CID1009995
157,CID1010248
158,CID1010299
159,CID1010326
160,CID1010339
161,CID1010414
162,CID1010421
163,CID1010450
164,CID1010486
165,CID1010547
166,CID1010678
167,CID1010699
168,CID1010727
169,CID1010821
170,CID1010852
171,CID1010919
172,CID1010931
173,CID1010963
174,CID1010970
175,CID1010986
176,CID1011103
177,CID1011187
178,CID1011265
179,CID1011312
180,CID1011546
181,CID1011547
182,CID1011557
183,CID1011597
184,CID1011795
185,CID1011892
186,CID1011895
187,CID1011912
188,CID1011914
189,CID1011976
190,CID1012073
191,CID1012116
192,CID1012222
193,CID1012225
194,CID1012298
195,CID1012379
196,CID1012455
197,CID1012462
198,CID1012491
199,CID1012548
200,CID1012699
201,CID1012737
202,CID1012767
203,CID1012802
204,CID1012811
205,CID1012881
206,CID1012897
207,CID1012925
208,CID1013016
209,CID1013132
210,CID1013241
211,CID1013581
212,CID1013613
213,CID1013661
214,CID1013668
215,CID1013901
216,CID1013913
217,CID1013951
218,CID1013953
219,CID1014107
220,CID1014185
221,CID1014231
222,CID1014256
223,CID1014279
224,CID1014401
225,CID1014435
226,CID1014442
227,CID1014576
228,CID1014650
229,CID1014656
230,CID1014713
231,CID1014787
232,CID1014823
233,CID1014838
234,CID1014855
235,CID1014941
236,CID1015015
237,CID1015034
238,CID1015232
239,CID1015233
240,CID1015353
241,CID1015360
242,CID1015390
243,CID1015513
244,CID1015652
245,CID1015706
246,CID1015772
247,CID1015819
248,CID1015889
249,CID1015901
250,CID1015952
251,CID1015969
252,CID1015988
253,CID1015991
254,CID1016051
255,CID1016119
256,CID1016195
257,CID1016296
258,CID1016306
259,CID1016307
260,CID1016516
261,CID1016648
262,CID1016779
263,CID1016798
264,CID1016847
265,CID1016872
266,CID1016975
267,CID1017019
268,CID1017033
269,CID1017055
270,CID1017248
271,CID1017319
272,CID1017346
273,CID1017389
274,CID1017397
275,CID1017509
276,CID1017589
277,CID1017725
278,CID1017738
279,CID1017769
280,CID1017817
281,CID1017853
282,CID1017869
283,CID1017933
284,CID1017969
285,CID1017989
286,CID1018009
287,CID1018138
288,CID1018172
289,CID1018373
290,CID1018483
291,CID1018512
292,CID1018535
293,CID1018584
294,CID1018663
295,CID1018725
296,CID1018771
297,CID1018808
298,CID1018836
299,CID1018886
300,CID1018891
301,CID1018927
302,CID1018935
303,CID1019021
304,CID1019326
305,CID1019337
306,CID1019428
307,CID1019445
308,CID1019742
309,CID1019744
310,CID1019763
311,CID1019783
312,CID1019853
313,CID1019938
314,CID1019946
315,CID1019957
316,CID1019996
317,CID1019998
318,CID1020060
319,CID1020111
320,CID1020124
321,CID1020126
322,CID1020164
323,CID1020238
324,CID1020263
325,CID1020281
326,CID1020288
327,CID1020383
328,CID1020507
329,CID1020700
330,CID1020708
331,CID1020772
332,CID1020830
333,CID1020913
334,CID1021011
335,CID1021069
336,CID1021154
337,CID1021173
338,CID1021184
339,CID1021224
340,CID1021245
341,CID1021309
342,CID1021315
343,CID1021429
344,CID1021431
345,CID1021573
346,CID1021695
347,CID1021718
348,CID1021742
349,CID1021850
350,CID1021889
351,CID1021908
352,CID1021933
353,CID1022003
354,CID1022061
355,CID1022102
356,CID1022192
357,CID1022318
358,CID1022398
359,CID1022402
360,CID1022484
361,CID1022499
362,CID1022757
363,CID1022767
364,CID1022775
365,CID1022819
366,CID1023069
367,CID1023135
368,CID1023221
369,CID1023222
370,CID1023244
371,CID1023265
372,CID1023272
373,CID1023276
374,CID1023361
375,CID1023416
376,CID1023446
377,CID1023470
378,CID1023522
379,CID1023576
380,CID1023624
381,CID1023838
382,CID1023904
383,CID1024082
384,CID1024150
385,CID1024181
386,CID1024240
387,CID1024272
388,CID1024316
389,CID1024355
390,CID1024377
391,CID1024397
392,CID1024490
393,CID1024505
394,CID1024720
395,CID1024724
396,CID1024725
397,CID1024731
398,CID1024765
399,CID1024782
400,CID1024869
401,CID1024953
402,CID1024990
403,CID1024996
404,CID1025055
405,CID1025133
406,CID1025266
407,CID1025308
408,CID1025314
409,CID1025328
410,CID1025358
411,CID1025376
412,CID1025388
413,CID1025464
414,CID1025623
415,CID1025635
416,CID1025709
417,CID1025710
418,CID1025736
419,CID1025742
420,CID1025793
421,CID1025858
422,CID1025931
423,CID1025996
424,CID1026129
425,CID1026134
426,CID1026192
427,CID1026325
428,CID1026343
429,CID1026428
430,CID1026479
431,CID1026528
432,CID1026547
433,CID1026663
434,CID1026717
435,CID1026774
436,CID1026885
437,CID1026987
438,CID1027018
439,CID1027056
440,CID1027072
441,CID1027084
442,CID1027303
443,CID1027305
444,CID1027331
445,CID1027354
446,CID1027374
447,CID1027435
448,CID1027464
449,CID1027559
450,CID1027720
451,CID1027799
452,CID1028015
453,CID1028074
454,CID1028093
455,CID1028147
456,CID1028227
457,CID1028318
458,CID1028358
459,CID1028399
460,CID1028412
461,CID1028518
462,CID1028626
463,CID1028653
464,CID1028674
465,CID1028731
466,CID1028866
467,CID1028883
468,CID1028913
469,CID1029073
470,CID1029119
471,CID1029162
472,CID1029170
